This file was created using the 202607 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199411  ,-7.75  ,-7.13  ,-6.88  ,-6.69  ,-6.19  ,-7.60  ,-9.17  ,-7.49  ,-8.26  ,-8.65  ,-8.48  ,-7.45  ,-7.98  ,-8.05  ,-8.21  ,-7.32  ,-8.91  ,-5.95  ,-5.73  ,-7.59  ,-5.99  ,-4.85  ,-6.02  ,-6.73  ,-5.18
199412   ,2.37   ,4.72   ,3.24   ,0.21   ,0.93   ,1.95   ,3.81   ,1.39   ,2.42   ,3.01   ,2.50   ,2.66   ,1.19   ,4.12   ,3.71   ,2.31   ,2.76   ,3.21   ,2.37   ,2.60   ,2.57   ,1.72   ,1.69   ,1.11   ,1.56
199501  ,-4.63  ,-4.44  ,-6.91  ,-5.78  ,-6.22  ,-4.19  ,-5.65  ,-4.27  ,-2.11  ,-6.21  ,-3.00  ,-3.17  ,-2.86  ,-4.05  ,-7.45  ,-3.80  ,-3.61  ,-5.55  ,-5.13  ,-5.44  ,-5.42  ,-6.71  ,-7.04  ,-7.84 ,-10.06
199502  ,-4.88  ,-4.88  ,-5.23  ,-3.33  ,-4.34  ,-5.47  ,-6.95  ,-6.62  ,-7.55  ,-6.23  ,-8.45  ,-6.28  ,-6.38  ,-6.96  ,-6.15  ,-8.85  ,-6.70  ,-6.36  ,-4.96  ,-6.54  ,-4.33  ,-4.27  ,-6.01  ,-5.31  ,-4.14
199503   ,4.21   ,4.63   ,5.11   ,6.86   ,6.80   ,7.84   ,4.43   ,6.61   ,6.43   ,7.07   ,3.89   ,4.67   ,4.83   ,6.60   ,7.62   ,6.69   ,6.40   ,6.57   ,8.53   ,7.33   ,7.67  ,12.06   ,8.90  ,10.70  ,10.72
199504   ,3.01   ,1.37   ,1.22   ,0.13   ,1.07   ,0.72   ,2.46   ,2.61   ,1.72   ,2.00   ,2.95   ,1.59   ,2.61   ,2.37   ,3.06   ,3.42   ,4.67   ,3.82   ,3.24   ,3.13   ,6.49   ,4.20   ,4.82   ,3.27   ,1.80
199505  ,-8.08  ,-8.18  ,-9.19  ,-7.35  ,-6.86  ,-8.92 ,-10.74 ,-10.60  ,-9.51  ,-9.22 ,-10.03  ,-9.79  ,-9.20  ,-9.19 ,-10.06 ,-11.51  ,-8.14  ,-7.80  ,-5.15  ,-8.89  ,-4.19  ,-5.36  ,-6.55  ,-6.08  ,-8.11
199506  ,-8.16  ,-5.52  ,-5.44  ,-6.34  ,-4.40  ,-6.68  ,-4.28  ,-5.69  ,-3.71  ,-5.86  ,-4.67  ,-5.03  ,-4.46  ,-3.97  ,-5.16  ,-3.61  ,-6.05  ,-3.43  ,-4.07  ,-5.14  ,-5.17  ,-4.34  ,-3.70  ,-1.98  ,-2.89
199507   ,7.18   ,6.55   ,4.40   ,3.52   ,2.84   ,9.75   ,5.12   ,7.74   ,6.59   ,4.20   ,7.83   ,8.54   ,7.67   ,6.62   ,4.67   ,8.46   ,7.05   ,7.36   ,3.40   ,5.17   ,6.40   ,7.19   ,6.41   ,5.68   ,6.51
199508   ,0.95   ,1.27   ,0.49   ,0.17  ,-1.54   ,2.24  ,-1.79   ,3.13   ,2.31  ,-1.07   ,0.02   ,0.99  ,-0.48  ,-0.94  ,-2.11   ,0.91   ,1.21  ,-0.66  ,-1.38  ,-2.80  ,-3.31  ,-4.88  ,-2.60  ,-2.65  ,-1.20
199509  ,-5.01  ,-3.97  ,-3.78  ,-2.40  ,-4.15  ,-3.05  ,-4.47  ,-3.16  ,-3.59  ,-3.97  ,-1.75  ,-1.23  ,-3.50  ,-0.88  ,-5.39  ,-1.86  ,-2.64  ,-4.28  ,-3.48  ,-3.06  ,-0.42   ,0.19   ,0.52  ,-1.22  ,-3.66
199510  ,-1.45  ,-0.42  ,-0.11  ,-3.16  ,-2.48  ,-1.40  ,-1.87  ,-1.30  ,-2.26  ,-3.29  ,-2.44  ,-3.79  ,-4.01  ,-3.64  ,-3.08  ,-4.16  ,-3.05  ,-3.50  ,-0.73  ,-3.85  ,-3.66  ,-4.93  ,-4.72  ,-3.10  ,-4.85
199511   ,6.27   ,6.93   ,3.81   ,6.81   ,5.43   ,5.08   ,4.08   ,4.27   ,5.28   ,6.84   ,3.16   ,3.00   ,5.57   ,3.20   ,5.35   ,5.47   ,3.17   ,3.31   ,2.30   ,4.44   ,4.36   ,5.36   ,4.62   ,4.67   ,3.00
199512   ,7.00   ,7.01   ,8.61   ,9.06  ,11.42   ,6.38   ,3.85   ,5.57   ,5.08   ,8.90   ,3.78   ,5.01   ,6.95   ,7.13   ,5.88   ,3.95   ,5.12   ,6.02   ,4.61   ,5.42   ,3.07   ,5.49   ,3.77   ,5.34   ,7.05
199601   ,1.65   ,2.84   ,2.63   ,2.24   ,2.83   ,1.18   ,1.92   ,3.53   ,1.09   ,1.70   ,0.43   ,0.98   ,2.67   ,1.10   ,1.59   ,0.80   ,1.69   ,0.15   ,0.57   ,0.18  ,-3.20  ,-3.26  ,-0.79   ,0.54  ,-0.74
199602  ,-2.05  ,-4.28  ,-3.12  ,-2.93  ,-1.61  ,-1.60  ,-1.21  ,-1.75  ,-1.89  ,-2.86  ,-0.45  ,-1.30  ,-1.70  ,-1.35  ,-0.64  ,-0.35  ,-1.09  ,-1.11  ,-1.22  ,-1.57  ,-1.79  ,-1.28  ,-1.45  ,-0.90  ,-1.99
