date,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
1997-02-01,-1.46,0.51,-2.01,-0.4,-2.06,-0.68,1.2,1.0,-2.09,-1.09,-1.56,0.64,-0.42,-0.41,-1.68,-1.85,1.47,-0.13,0.57,1.84,2.97,4.46,1.32,2.04,2.24
1997-03-01,-8.4,-7.77,-7.0,-6.1,-6.78,-8.77,-7.2,-7.96,-4.28,-6.69,-9.47,-7.72,-7.17,-5.02,-5.34,-7.25,-6.28,-6.0,-3.87,-3.81,-6.38,-3.3,-1.98,-2.61,-0.97
1997-04-01,-3.83,-4.15,-4.67,-5.04,-4.12,-4.54,-3.03,-1.69,-1.73,-3.9,-1.34,-0.89,2.97,0.16,1.02,-1.4,0.72,-0.49,1.97,3.67,-1.91,0.35,1.24,3.96,6.28
1997-05-01,19.65,14.59,14.17,13.06,13.08,20.74,15.9,15.08,13.98,12.41,18.12,16.67,15.59,11.77,14.91,18.93,13.56,13.75,11.75,12.45,14.54,15.41,10.08,11.36,13.55
1997-06-01,3.27,3.49,3.92,4.07,4.73,0.66,3.42,3.2,2.42,3.49,2.05,3.67,3.98,3.15,4.61,2.27,3.13,3.63,3.29,3.22,14.48,10.83,5.99,5.02,3.93
1997-07-01,-13.92,-10.24,-8.08,-7.0,-8.45,-15.35,-9.96,-7.74,-7.21,-1.82,-15.07,-9.83,-6.29,-3.92,3.02,-13.37,-10.23,-7.16,-3.44,2.91,-10.19,-8.02,-7.54,-6.1,5.29
1997-08-01,-10.06,-9.41,-9.04,-6.89,-11.1,-11.47,-10.01,-9.57,-10.08,-9.24,-14.67,-11.18,-9.23,-10.76,-10.94,-10.86,-10.73,-8.83,-8.51,-14.63,-5.43,-5.67,-8.03,-6.58,-11.84
1997-09-01,-18.44,-11.4,-9.56,-9.98,-16.36,-16.81,-11.26,-7.84,-8.51,-8.78,-17.57,-11.49,-8.46,-7.76,-1.37,-12.81,-8.27,-4.78,-3.57,1.22,-10.37,-4.16,-2.95,-0.71,5.05
1997-10-01,4.43,-2.8,-4.24,-3.64,-9.95,3.12,-0.99,-3.32,-2.51,-6.19,2.8,-2.79,0.68,-2.19,1.53,-0.23,-3.01,-2.59,-2.18,-5.2,-12.85,-12.63,-13.32,-7.9,-7.46
1997-11-01,-21.42,-15.19,-13.77,-10.74,-20.52,-21.2,-17.64,-13.85,-13.08,-8.22,-21.14,-14.48,-12.91,-11.65,-10.24,-17.12,-11.65,-9.33,-11.36,-5.98,-24.88,-12.62,-3.42,-6.02,-2.26
1997-12-01,-15.58,-12.12,-7.95,-9.0,-21.45,-19.33,-13.75,-11.33,-6.63,-10.62,-18.42,-15.58,-12.05,-11.29,-7.48,-13.7,-16.15,-10.29,-14.09,-9.62,-14.73,-10.2,-8.1,-2.21,-1.37
1998-01-01,36.17,19.17,18.16,13.06,12.76,33.45,18.78,11.43,10.21,16.19,29.05,17.3,12.14,11.49,11.49,29.74,19.37,12.83,10.74,9.3,25.76,18.31,7.69,4.72,3.67
1998-02-01,9.25,1.59,1.81,0.53,6.84,10.4,4.18,0.57,1.4,-0.44,8.36,4.05,1.56,2.03,-2.19,8.05,4.09,1.63,-0.5,0.32,7.22,6.49,0.03,-0.95,-1.53
1998-03-01,-10.7,-7.02,-6.77,-4.05,-7.63,-10.38,-8.28,-6.81,-6.31,-9.65,-10.5,-5.86,-4.53,-6.15,-5.85,-8.53,-6.31,-4.56,-2.71,-3.65,-15.22,-10.9,-9.49,-3.61,-4.67
1998-04-01,-5.72,-5.43,-3.57,-3.44,-5.72,-6.44,-6.81,-5.43,-2.85,-2.69,-5.9,-4.76,-1.07,0.68,5.09,-6.4,-3.88,-4.5,-3.44,0.19,-1.24,-5.07,-2.57,-2.57,0.89
1998-05-01,-4.62,-4.4,-3.68,-5.59,-6.01,-4.22,-3.73,-4.55,-3.16,-5.94,-3.65,-3.92,-2.37,-5.44,-1.35,0.22,-1.66,-3.43,-2.95,-0.31,-2.85,-9.06,-7.44,-3.96,-4.01
1998-06-01,2.27,0.77,-1.38,-2.31,-3.65,1.01,1.44,0.37,-2.58,5.87,1.54,1.02,0.34,0.54,-1.34,0.86,2.14,2.47,-0.68,1.29,0.48,-0.08,1.32,0.02,0.63
