date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1996-11-01,-5.98,-4.31,-4.84,-3.42,-4.03,-3.79,-3.41,-4.05,-3.13,-2.92,-1.88,-2.51,-2.22,-2.67,-3.41,-2.68,0.11,-1.75,-1.46,-1.89,0.21,1.86,2.84,3.68,1.07
1996-12-01,-11.43,-11.94,-10.67,-9.14,-9.4,-11.16,-11.72,-11.04,-9.73,-10.21,-10.31,-10.26,-10.79,-10.59,-10.19,-9.17,-8.94,-9.56,-8.03,-7.75,-7.97,-6.57,-5.07,-3.55,-5.9
1997-01-01,-10.44,-9.59,-9.26,-12.87,-9.84,-9.53,-10.3,-9.44,-11.37,-11.21,-7.8,-8.47,-8.24,-9.61,-9.93,-10.06,-9.0,-10.08,-9.21,-11.1,-13.16,-10.82,-10.09,-9.02,-8.0
1997-02-01,-2.49,-1.69,-0.43,-1.71,-0.46,-1.59,-0.45,-0.31,0.7,-0.35,-0.51,-0.24,-0.99,-0.23,0.26,-0.22,-0.4,0.76,1.05,-0.33,4.29,2.88,0.76,0.84,0.34
1997-03-01,-8.09,-7.72,-7.08,-6.65,-7.12,-8.37,-7.94,-7.77,-5.84,-5.94,-7.64,-7.97,-7.01,-7.63,-5.95,-7.47,-6.46,-6.36,-4.21,-4.86,-3.47,-3.4,-2.34,-2.42,-0.43
1997-04-01,-4.95,-2.65,-5.74,-4.42,-4.65,-1.7,-2.03,-3.32,-3.79,-3.83,1.66,1.25,-0.66,-1.54,-2.09,1.92,2.88,1.83,0.84,-0.62,1.98,2.33,1.85,5.89,1.81
1997-05-01,17.5,17.4,17.59,16.85,14.55,18.01,17.48,16.48,16.0,15.24,18.94,16.41,15.64,17.59,14.52,19.12,14.91,13.32,13.99,11.76,17.52,11.35,10.8,8.6,13.25
1997-06-01,4.68,3.75,3.91,3.84,2.81,1.81,1.14,1.35,4.62,3.05,2.76,1.88,1.67,3.58,2.8,3.22,2.74,3.3,2.64,3.14,6.78,7.88,5.08,5.56,7.08
1997-07-01,-13.18,-10.82,-12.7,-11.0,-11.51,-12.09,-11.75,-10.23,-12.21,-11.51,-7.87,-6.09,-9.72,-10.61,-9.14,-4.15,-6.41,-4.57,-7.45,-9.28,-0.68,-1.8,-3.31,-6.18,-3.99
1997-08-01,-10.45,-8.35,-10.34,-9.25,-9.53,-10.61,-9.63,-10.46,-9.74,-10.89,-13.54,-11.51,-11.1,-11.37,-12.09,-12.22,-11.69,-11.72,-7.63,-11.97,-8.34,-10.16,-9.91,-5.78,-9.86
1997-09-01,-18.06,-14.0,-15.93,-13.27,-14.0,-13.84,-13.44,-14.9,-13.05,-12.62,-13.99,-9.31,-11.64,-10.1,-12.52,-4.41,-7.13,-6.26,-6.38,-8.62,0.51,2.24,-3.92,-0.62,-3.98
1997-10-01,3.36,0.06,-1.8,-3.83,-1.25,1.08,0.23,-0.24,0.27,-0.78,0.89,-0.94,1.57,0.81,0.1,-2.43,-3.62,-2.0,-1.3,0.43,-9.64,-10.07,-6.39,-13.65,-6.98
1997-11-01,-21.69,-15.89,-18.67,-16.04,-17.39,-17.64,-20.89,-17.67,-15.26,-18.91,-15.82,-15.75,-13.16,-15.98,-16.82,-12.03,-10.28,-11.56,-11.28,-17.06,-4.46,-3.79,-9.36,-5.49,-12.56
1997-12-01,-13.54,-15.04,-13.62,-15.46,-13.53,-15.98,-18.73,-15.9,-15.6,-12.98,-12.63,-16.55,-14.89,-12.52,-14.11,-9.65,-17.82,-15.91,-14.46,-14.04,-4.59,-4.76,-7.86,-7.29,-8.84
1998-01-01,25.93,25.92,30.17,22.79,23.15,26.32,27.3,23.24,22.02,25.22,21.07,24.0,19.4,17.27,21.67,14.81,17.76,15.67,15.67,20.06,8.18,6.48,11.75,11.06,11.37
1998-02-01,7.02,2.78,4.79,3.41,5.86,6.72,6.29,3.89,6.56,6.97,4.41,4.07,5.18,4.45,5.29,-0.46,2.73,1.4,3.23,5.93,-0.04,0.62,1.27,0.23,0.6
1998-03-01,-10.47,-10.09,-9.7,-7.02,-8.35,-10.43,-9.21,-11.53,-7.19,-8.2,-9.61,-8.2,-7.7,-5.45,-7.31,-5.56,-5.18,-3.98,-5.15,-7.24,-7.23,-6.0,-6.62,-7.75,-1.45
1998-04-01,-6.66,-4.46,-5.16,-5.06,-6.03,-6.12,-7.48,-1.83,-5.25,-5.64,-1.88,1.29,-3.72,-2.95,-3.51,-2.3,-1.85,-2.46,-5.22,-6.2,-0.51,-1.74,0.66,-3.12,-4.52
1998-05-01,-6.53,-3.02,-5.27,-3.3,-4.02,-4.64,-3.07,-4.12,-3.73,-4.6,-4.31,-4.2,-2.68,-2.61,-3.74,-1.05,-2.55,-2.93,-2.84,-2.61,-6.2,-2.68,-4.95,-7.11,-2.79
1998-06-01,1.83,2.03,0.59,0.55,0.38,2.11,3.3,1.01,1.55,1.56,2.2,-1.28,1.56,0.43,0.04,-0.87,0.37,0.25,1.66,3.42,-0.21,1.26,0.7,1.71,0.74
1998-07-01,-0.25,-1.58,-3.43,-2.31,-1.91,-3.39,-1.23,-0.57,-2.75,-1.49,0.51,0.48,-0.92,-0.26,-1.67,2.7,-1.17,-2.44,-2.41,-1.21,0.2,-0.98,-4.22,-1.48,-5.98
1998-08-01,-9.08,-7.45,-5.57,-7.82,-8.85,-6.26,-9.92,-7.82,-5.91,-9.82,-4.99,-6.82,-5.29,-6.25,-7.77,-3.7,-6.93,-5.54,-5.75,-7.62,-9.64,-7.66,-9.33,-11.51,-13.07
1998-09-01,-9.04,-8.28,-5.9,-4.97,-6.66,-5.97,-2.9,-6.17,-5.54,-7.18,-6.22,-2.27,-6.76,-1.99,-5.08,-6.86,-2.65,0.87,-0.52,-7.97,-2.54,-2.44,-2.35,-5.85,-9.97
1998-10-01,16.62,10.65,13.25,11.12,14.99,13.59,15.21,8.84,12.71,13.65,15.84,10.52,7.92,11.88,14.42,13.34,14.9,15.54,13.08,20.54,13.69,20.82,21.11,13.06,31.42
1998-11-01,7.65,3.45,6.22,4.8,5.66,4.95,1.56,6.28,5.22,9.48,4.18,3.02,5.78,3.87,4.03,3.73,1.89,-0.05,1.37,4.23,4.28,2.12,3.92,9.04,3.02
1998-12-01,3.65,5.21,3.03,4.38,2.25,4.01,2.69,4.5,4.31,0.07,5.79,6.23,3.2,4.29,1.33,7.45,3.15,3.81,5.66,4.74,2.43,5.09,1.67,4.76,-1.36
1999-01-01,-0.57,0.33,-0.13,-0.06,-1.22,4.87,0.37,-0.9,-0.34,-0.26,3.0,2.31,3.07,1.28,0.8,1.11,2.19,0.27,-0.96,0.21,1.81,-1.11,1.6,4.43,1.93
1999-02-01,11.95,2.69,-0.08,2.45,0.96,10.04,-0.04,0.33,-1.02,-2.02,4.53,-2.58,-3.14,-4.26,-3.39,-0.15,-2.74,-4.15,-6.1,-1.64,-1.28,-3.76,-3.47,-3.21,-1.71
1999-03-01,24.0,16.54,13.5,15.46,15.52,16.95,14.36,12.1,12.5,14.77,17.67,10.5,11.75,9.42,13.9,22.84,8.15,9.96,11.32,14.7,14.04,11.38,14.15,15.51,24.96
1999-04-01,10.59,11.79,10.92,11.24,14.12,7.17,5.81,9.43,9.98,11.57,10.75,7.84,6.41,5.24,10.09,6.57,3.11,1.72,3.4,7.27,3.82,2.69,4.4,3.3,14.56
1999-05-01,-1.26,-8.78,-7.52,-6.68,-6.01,-3.8,-4.3,-3.56,-4.88,-5.91,-5.44,-4.58,-2.58,-3.55,-5.48,-7.14,-1.65,-2.17,-2.77,-5.04,-4.6,-4.44,-5.74,-3.77,-10.6
1999-06-01,23.58,16.59,26.85,19.97,17.28,43.76,20.03,24.17,15.49,13.29,27.06,9.51,13.52,7.76,9.25,23.19,7.65,5.1,4.4,7.75,12.38,5.53,6.14,14.33,13.2
1999-07-01,1.97,3.59,13.07,7.97,9.68,5.27,7.43,5.0,4.82,6.49,6.96,5.91,6.55,6.39,9.21,8.8,9.86,6.7,6.85,10.26,11.73,11.86,7.66,11.51,11.39
1999-08-01,5.39,1.22,13.4,2.94,2.17,6.32,4.23,4.86,4.63,2.06,13.66,8.59,6.24,2.2,3.34,13.17,4.81,4.53,2.63,1.52,4.22,-2.56,4.24,4.98,10.76
1999-09-01,0.24,-1.83,2.81,3.8,0.45,12.39,9.08,4.16,6.68,2.31,4.28,9.94,4.56,3.6,3.01,13.04,3.31,2.99,4.62,3.44,10.63,5.13,4.35,9.2,10.92
