date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1998-02-01,6.16,5.95,5.36,5.55,6.68,7.9,7.75,7.14,7.29,7.84,7.56,7.67,7.13,7.48,7.53,6.97,8.06,6.95,5.97,8.14,6.41,5.94,7.73,7.23,7.72
1998-03-01,3.82,4.58,4.82,4.01,4.41,4.13,3.24,3.25,2.69,3.51,3.82,2.88,3.42,4.45,4.94,3.7,4.2,4.35,3.57,5.94,2.51,3.95,3.82,6.85,6.87
1998-04-01,2.73,2.19,2.58,2.81,1.94,0.92,1.56,1.89,0.13,0.48,0.83,1.44,1.66,1.3,0.51,0.99,2.77,1.33,-0.01,-0.59,0.6,0.82,2.48,1.55,0.51
1998-05-01,-2.03,-1.36,-1.81,-1.38,-1.11,-2.83,-1.68,-3.72,-2.34,-1.31,-4.24,-2.04,-2.41,-1.88,-0.27,-2.89,-1.07,-2.41,-1.52,-0.41,-2.0,-0.43,-2.15,0.07,0.45
1998-06-01,-3.84,-0.72,-2.06,-2.83,-2.81,-0.7,-1.78,-2.92,-2.62,-1.47,-1.12,-1.73,-1.28,-2.58,-1.27,1.82,-1.23,-1.52,-1.74,-1.6,5.37,0.55,1.65,0.7,2.15
1998-07-01,-3.83,-4.87,-4.56,-3.9,-3.45,-3.29,-5.92,-4.15,-4.76,-4.2,-3.57,-3.99,-4.79,-3.38,-4.89,-1.86,-3.64,-2.47,-2.77,-4.08,0.2,-0.11,0.06,0.44,-1.31
1998-08-01,-16.55,-15.99,-16.0,-14.65,-12.5,-18.23,-17.47,-14.28,-14.07,-13.23,-15.86,-16.76,-14.41,-13.24,-13.34,-14.85,-14.91,-15.24,-14.56,-12.89,-11.07,-13.77,-14.46,-15.9,-16.02
1998-09-01,0.72,-0.19,0.49,0.71,-1.21,3.13,1.78,0.71,2.04,-0.8,2.41,0.82,1.84,1.95,0.18,1.83,1.69,1.41,2.38,0.92,4.2,2.29,-1.66,0.49,-1.18
1998-10-01,2.46,3.82,3.88,4.24,6.35,5.06,5.34,3.9,5.91,6.69,6.14,6.8,6.59,6.57,9.18,8.58,9.57,8.96,7.47,7.93,8.13,10.47,8.56,8.8,9.86
1998-11-01,6.73,3.44,4.99,4.57,5.1,6.88,3.82,5.67,4.05,5.35,5.57,3.99,3.63,2.85,3.01,6.59,3.03,2.73,2.93,3.46,6.47,5.14,5.51,5.89,4.51
1998-12-01,1.95,2.23,0.18,1.16,0.03,4.57,4.26,2.63,2.88,1.22,6.92,4.16,4.21,2.79,2.83,5.76,5.17,3.17,2.55,1.45,7.04,5.43,2.17,2.91,3.22
1999-01-01,5.39,3.89,3.41,2.02,0.77,5.23,1.15,-0.07,-0.48,-0.76,2.95,0.82,0.56,-2.25,-2.03,4.83,-1.17,-2.35,-1.4,-1.27,4.29,0.49,1.96,0.98,0.07
1999-02-01,-0.67,-3.22,-3.79,-2.04,-1.41,-3.09,-3.29,-3.79,-4.6,-4.72,-3.88,-4.38,-4.82,-3.99,-3.92,-3.98,-5.19,-3.66,-3.65,-2.13,-3.58,-2.6,-0.89,-2.54,-2.22
1999-03-01,1.55,2.64,-0.05,0.46,4.98,2.67,0.38,1.52,2.14,5.16,5.76,2.34,5.85,2.71,5.21,3.73,4.03,2.49,2.6,3.73,4.87,3.79,3.23,3.22,4.04
1999-04-01,5.02,6.34,10.5,8.76,11.74,9.49,8.26,6.45,6.95,8.55,5.59,8.34,8.24,6.41,8.16,4.69,5.92,7.43,6.31,8.57,0.45,5.38,8.49,4.82,7.12
1999-05-01,0.67,0.1,2.55,3.03,0.83,-1.75,-0.22,0.92,0.83,-0.48,-1.39,0.36,-1.57,-0.25,-1.01,-0.03,-0.89,-0.55,-0.47,-1.67,-3.84,-2.66,-3.12,-2.81,-3.49
1999-06-01,6.87,6.46,8.9,9.8,10.0,8.35,8.18,7.26,6.09,7.46,8.04,4.59,5.42,2.56,5.69,6.75,6.27,3.28,3.25,4.82,7.12,4.07,3.45,1.94,3.11
1999-07-01,3.71,3.34,4.2,2.56,3.65,1.31,1.4,1.42,2.12,1.73,0.72,1.4,0.94,2.32,2.16,2.42,1.57,1.03,0.59,1.63,-1.31,0.99,-0.88,-0.71,0.48
1999-08-01,3.5,3.43,3.74,1.03,0.96,3.01,1.99,0.23,0.73,0.22,1.42,-0.22,-0.8,-1.38,0.1,5.09,-0.77,-2.09,-0.04,-0.0,2.3,-2.73,-0.15,-1.32,1.4
1999-09-01,3.19,2.75,1.76,0.53,-0.05,3.25,2.65,1.63,1.01,0.41,2.78,2.98,0.29,-0.77,-0.18,2.37,-0.33,-1.51,-0.64,-1.78,0.35,0.34,-2.0,-1.87,-0.61
1999-10-01,1.42,1.63,0.84,-0.39,-1.46,1.52,3.79,-1.37,-1.21,-2.02,5.09,0.63,-0.39,-1.41,-1.29,6.55,0.19,0.94,0.94,1.61,8.31,4.36,5.02,4.9,4.73
1999-11-01,13.75,8.18,8.73,4.25,0.56,10.07,5.53,3.68,1.28,-0.63,10.65,7.69,5.32,-1.17,-1.9,13.17,3.33,1.08,-1.38,-1.45,7.46,3.48,2.41,-0.93,-3.06
1999-12-01,14.99,10.63,12.07,4.13,2.78,10.28,8.71,6.52,2.95,0.23,11.39,9.36,6.23,1.2,3.05,15.55,4.35,7.64,2.05,4.01,9.1,8.06,7.68,4.42,2.54
2000-01-01,8.09,5.49,4.13,2.64,1.67,2.02,-1.21,-1.73,-3.37,-1.81,-0.85,-1.9,-5.18,-1.72,-4.43,-4.35,-3.4,-3.91,-3.54,-6.05,-5.94,-6.21,-5.26,-6.38,-5.48
